kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
250000.0,Prov. Papua,251800.0,Kab. Tolikara,251831.0,Kec. Gilungbandu,60303704.0,SMP SATAP KAGI,SMP,N,Gilubandu,-3.415995,138.339704
250000.0,Prov. Papua,251800.0,Kab. Tolikara,251822.0,Kec. Wunin,60302267.0,SD YPPGI WURINERI,SD,S,Wunin,-3.479,138.68
250000.0,Prov. Papua,251800.0,Kab. Tolikara,251803.0,Kec. Bokondini,60302279.0,SMAN BOKONDINI,SMA,N,MAIRINI,-3.5317307,138.6582341
250000.0,Prov. Papua,251800.0,Kab. Tolikara,251814.0,Kec. Kuari,60302215.0,SD INPRES KUARI,SD,N,Kuari,-3.5181,138.5295
250000.0,Prov. Papua,251800.0,Kab. Tolikara,251802.0,Kec. Karubaga,60302283.0,SMAS YPPGI KARUBAGA,SMA,S,AMPERA,-3.4491,138.5988
250000.0,Prov. Papua,251800.0,Kab. Tolikara,251822.0,Kec. Wunin,60302256.0,SD NEGERI POKEGI,SD,N,Pokegi,-3.4911178,138.6604715
250000.0,Prov. Papua,251800.0,Kab. Tolikara,251823.0,Kec. Wina,60302238.0,SD INPRES YOGWEME,SD,N,Yogweme,-3.421347,138.222339
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253007.0,Kec. Tiomneri,69938686.0,SD Negeri Kuwopaga,SD,N,Jl.Raya Tiom-Puncak Jaya,-3.8593617,138.2259606
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60303495.0,SMP YPPGI WIRINGGAMBUT,SMP,S,Golo,-3.9319,138.4478
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253007.0,Kec. Tiomneri,60301433.0,SD INPRES MILINGGAME,SD,N,Milinggame,-3.8855,138.4057
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253003.0,Kec. Tiom,60301498.0,SD NEGERI LONGGI,SD,N,Air Garam,-3.9229,138.3672
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253008.0,Kec. Dimba,60303550.0,SMP NEGERI 1 DIMBA,SMP,N,Dimba,-3.8585,138.5319
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253004.0,Kec. Balingga,69938692.0,SD Negeri Popome,SD,N,Jl.Raya Tiom-Balingga,-4.0829255,138.2473872
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253009.0,Kec. Gamelia,60303533.0,SD YPPGI YUNERI,SD,S,Talemo,-3.9411,138.624
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253009.0,Kec. Gamelia,60301448.0,SD INPRES PAPANI,SD,N,Odika,-3.8712,138.5858
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253003.0,Kec. Tiom,60301565.0,SMP NEGERI 2 TIOM,SMP,N,Konime,-3.9169,138.4349
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60302992.0,SMAN 1 MAKKI,SMA,N,JLN. WAMENA TIOM,-3.9443565,138.6774059
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60304540.0,SMP NEGERI 3 PIRIME,SMP,N,Libome,-3.8644,138.4732
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60303483.0,SMP NEGERI 2 PIRIME,SMP,N,Melendik,-3.8842,138.2309
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60301422.0,SD INPRES LIBOME,SD,N,Libome,-3.8888,138.5152
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253005.0,Kec. Kuyawage,60304536.0,SMP NEGERI 1 KUYAWAGE,SMP,N,K. Howay,-4.0473,138.0466
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253004.0,Kec. Balingga,60304054.0,SMAN 1 BALINGGA,SMA,N,JL. TRIKORA NO 1 BALINGGA,-4.0069,138.2768
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253005.0,Kec. Kuyawage,60303481.0,SD NEGERI KUYAWAGE,SD,N,Kuyawage 2,-3.9191411,138.1424185
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60303505.0,SMP NEGERI 2 MAKKI,SMP,N,Lelam,-3.976,138.6321
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253009.0,Kec. Gamelia,60301487.0,SD INPRES YILAM,SD,N,Piwugun,-3.7934227,138.4406335
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60302990.0,SMAN 1 PIRIME,SMA,N,JLN. WAMENA TIOM,-4.0516565,138.6027059
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253009.0,Kec. Gamelia,60301391.0,SD INPRES DANIME,SD,N,Danime,-3.9098,138.6268
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60303492.0,SD YPPGI NAMBUME,SD,S,Nambume,-3.9974,138.5313
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253004.0,Kec. Balingga,60301385.0,SD INPRES BALINGGA,SD,N,Balingga,-4.1217,138.4196
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60301403.0,SD INPRES GUNA,SD,N,Labora,-3.9711,138.6241
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60301421.0,SD INPRES LELAM,SD,N,Kolayak,-3.9392,138.6841
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253003.0,Kec. Tiom,60301518.0,SD YPPGI NOKAPAKA,SD,S,Sd Yppgi Nokapaka,-3.8009,138.3901
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253009.0,Kec. Gamelia,60301392.0,SD INPRES DELEGARI,SD,N,Ayapopa,-3.8791,138.5726
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253010.0,Kec. Poga,60304538.0,SMP NEGERI 1 POGA,SMP,N,Poga,-3.8029,138.5781
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253009.0,Kec. Gamelia,60301416.0,SD INPRES KORRI,SD,N,Gukopi,-3.9344,138.6333
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60300783.0,SMPN 1 PIRIME,SMP,N,PIRIME,-3.9798,138.5389
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60302957.0,SD NEGERI LIBO,SD,N,Libo,-3.8466,138.4692
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253004.0,Kec. Balingga,60303515.0,SD NEGERI YEREKA,SD,N,Bruyugu,-3.9074,138.672
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60301524.0,SD YPPGI TOBANAPME,SD,S,Tobanapme,-3.956,138.5873
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253007.0,Kec. Tiomneri,69905073.0,SMA Negeri Tiomneri,SMA,N,Jalan Desa Kuabaga,-3.8855,138.4057
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253010.0,Kec. Poga,60301424.0,SD INPRES LUALO,SD,N,Lualo,-3.8215,138.4259
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253003.0,Kec. Tiom,60301511.0,SD YPPGI GUWOPAKA,SD,S,Bokon,-3.8936,138.3064
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60301513.0,SD YPPGI INDUKAPAKA,SD,S,Indugu,-3.9657,138.5843
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60301582.0,SMP TERB. NEGERI 3 TIOM,SMP,N,Pirime,-4.0807,138.4665
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253006.0,Kec. Malagaineri,60303788.0,SMP NEGERI 1 MALAGAI,SMP,N,Puncak Jaya,-3.8738,138.1185
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60304863.0,SD NEGERI YALIPOK,SD,N,Yokobak,-3.9758,138.5782
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253009.0,Kec. Gamelia,60304906.0,SMP NEGERI 2 GAMELIA,SMP,N,Wabiragi,-3.9233,138.0471
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253009.0,Kec. Gamelia,69725988.0,SD INPRES WONOME,SD,N,Jln Yos Sudarso Wamena,-3.8864,138.6391
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60301426.0,SD INPRES MAKKI,SD,N,Kemiri,-3.981,138.5658
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253003.0,Kec. Tiom,69933489.0,SD Negeri Konikme,SD,N,Jalan Marthen Wakerkwa,,
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60301520.0,SD YPPGI PIRIME,SD,S,Pirime,-3.9907,138.5232
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253003.0,Kec. Tiom,69822795.0,SMAS YPPGI TIOM,SMA,S,JL. WAMENA TIOM,-3.9119,138.647
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253009.0,Kec. Gamelia,60303493.0,SD YPPGI YUWGA,SD,S,Odika,-3.8807,138.6062
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60303494.0,SMP NEGERI 3 MAKKI,SMP,N,Tigime,-3.9651,138.595
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60300790.0,SMP NEGERI 1 MAKKI,SMP,N,Kemiri,-4.0068,138.2079
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60303496.0,SMP NEGERI 4 MAKKI,SMP,N,Indawa,-3.917483,138.7009572
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253003.0,Kec. Tiom,69946087.0,SMP Negeri 3 Tiom Guninggame,SMP,N,Jalan Raya Tiom-Balingga,-3.9116476,138.2011667
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253005.0,Kec. Kuyawage,69947422.0,SD Negeri Tinime,SD,N,Jl.Kuyawage-Puncak Papua,-4.0468707,138.0340868
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60301506.0,SD YPPGI ADIAPUTME,SD,S,Kimbo,-3.9456,138.6128
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253010.0,Kec. Poga,60301452.0,SD INPRES POGA,SD,N,Gidura,-3.8179,138.5107
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60303480.0,SD NEGEGERI KUMULUME,SD,N,Gobani,-3.9438,138.6314
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253008.0,Kec. Dimba,60301393.0,SD INPRES DIMBA,SD,N,Dimba,-3.903,138.4707
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253007.0,Kec. Tiomneri,60304539.0,SMP NEGERI 1 TIOMNERI,SMP,N,Kuwogapa,-3.9321,138.3944
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253001.0,Kec. Makki,60301409.0,SD INPRES INDAWA,SD,N,Indawa,-3.9292,138.4936
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253002.0,Kec. Pirime,60304861.0,SD NEGERI WAME,SD,N,Karunggame,-4.0466,138.6046
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253007.0,Kec. Tiomneri,60301509.0,SD YPPGI BONANIP,SD,S,Gubo,-3.8967,138.4065
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253005.0,Kec. Kuyawage,60301440.0,SD INPRES MUME,SD,N,Mume,-4.0975,138.0568
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253006.0,Kec. Malagaineri,60301399.0,SD INPRES GANUME,SD,N,Malagai,-3.8868946,138.139833
250000.0,Prov. Papua,253000.0,Kab. Lanny Jaya,253004.0,Kec. Balingga,60301428.0,SD INPRES MANGGALOME,SD,N,Tima,-4.0535,138.1623
