kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
20000,Prov. Jawa Barat,21200,Kab. Tasikmalaya,21203,Kec. Cikalong,20210431,SDN 2 CIKALONG,SD,N,Kp. Bobos,-7.7705,108.1779
20000,Prov. Jawa Barat,22300,Kab. Bandung Barat,22314,Kec. Cikalong Wetan,20208084,SD NEGERI 1 CIKALONGWETAN,SD,N,Jl. Cikalong Cipeundeuy RT.02 RW.02,-6.7355,107.4354
20000,Prov. Jawa Barat,20800,Kab. Bandung,20820,Kec. Margaasih,69726561,SMK MEKAR RAHAYU,SMK,S,JL. CICUKANG NO. 177 MARGAASIH,-6.977,107.5586
20000,Prov. Jawa Barat,20800,Kab. Bandung,20814,Kec. Baleendah,20227707,SMP MUTIARA SANDI,SMP,S,Jl. Raya Laswi No. 345,-7.0188,107.654
20000,Prov. Jawa Barat,26500,Kota Bekasi,26504,Kec. Bekasi Timur,20222655,SD NEGERI MARGAHAYU XXII,SD,N,Jl. Hm. Djoyomartono,-6.252,107.0234
20000,Prov. Jawa Barat,20800,Kab. Bandung,20813,Kec. Ciparay,20205874,SDN TANJUNGLAYA,SD,N,Kp Tanjunglaya,-7.0329,107.7125
20000,Prov. Jawa Barat,21100,Kab. Garut,21131,Kec. Malangbong,20225966,SD NEGERI CISITU III MALANGBONG,SD,N,Kp. Bojong,-7.0388,108.0971
20000,Prov. Jawa Barat,21100,Kab. Garut,21113,Kec. Banjarwangi,69948400,SMA NUSA BANGSA,SMA,S,Kp. Pasirpogor RT 02 RW 06,-7.4279,107.8916
20000,Prov. Jawa Barat,21200,Kab. Tasikmalaya,21201,Kec. Cipatujah,20210484,SDN CIANDUM,SD,N,jl raya ciandum no 34,-7.7413,108.0057
20000,Prov. Jawa Barat,22100,Kab. Karawang,22118,Kec. Tirtajaya,20236851,SDN SRIJAYA III,SD,N,Dusun Cicau RT.06 RW.02,-6.0329,107.1654
20000,Prov. Jawa Barat,22100,Kab. Karawang,22120,Kec. Pakisjaya,20236944,SDN TANJUNGBUNGIN I,SD,N,Dusun Kedawung RT 01 RW 03,-6.2346,107.423
