kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
260000,Prov. Bengkulu,260100,Kab. Bengkulu Utara,260117,Kec. Air Napal,10700320,SD NEGERI 02 AIR NAPAL,SD,N,Ds.pasar Tebat,-3.1115,101.7924
260000,Prov. Bengkulu,266000,Kota Bengkulu,266007,Kec. Ratu Samban,10703074,SD NEGERI 02 KOTA BENGKULU,SD,N,Jl. Fatmawati,-3.8107,102.2681
260000,Prov. Bengkulu,260800,Kab. Seluma,260804,Kec. Semidang Alas Maras,10701604,SD NEGERI 47 SELUMA,SD,N,Desa Talang Beringin,-4.2599,102.7591
260000,Prov. Bengkulu,260300,Kab. Bengkulu Selatan,260315,Kec. Pinoraya,10701077,SD NEGERI 99 BENGKULU SELATAN,SD,N,Jalan Raya  Padang Lagan,-4.3063,102.8814
260000,Prov. Bengkulu,260200,Kab. Rejang Lebong,260204,Kec. Curup,10700781,SD NEGERI 6 REJANG LEBONG,SD,N,Jl. Setia Negara No.34,-3.3093,102.4894
260000,Prov. Bengkulu,260800,Kab. Seluma,260809,Kec. Seluma Selatan,10701729,SD NEGERI 72 SELUMA,SD,N,Sengkuang,-3.9843,102.6087
260000,Prov. Bengkulu,260800,Kab. Seluma,260803,Kec. Sukaraja,10701716,SD NEGERI 67 SELUMA,SD,N,Desa Riak Siabun,-3.8629,102.5687
40000,Prov. D.I. Yogyakarta,40200,Kab. Sleman,40211,Kec. Ngemplak,20404095,SD NEGERI BANJARHARJO,SD,N,Kragilan,-7.6865,110.4596
40000,Prov. D.I. Yogyakarta,40300,Kab. Gunung Kidul,40311,Kec. Patuk,20407330,SMP NEGERI 5 PATUK,SMP,N,"Kembang, Nglegi, Patuk, Gunungkidul",-7.8675,110.5597
40000,Prov. D.I. Yogyakarta,40100,Kab. Bantul,40115,Kec. Kasihan,20400229,SD NEGERI KARANGJATI,SD,N,Tamantirto,-7.836,110.3214
40000,Prov. D.I. Yogyakarta,40200,Kab. Sleman,40211,Kec. Ngemplak,20401085,SMP NEGERI 2 NGEMPLAK,SMP,N,Macanan,-7.7073,110.4655
40000,Prov. D.I. Yogyakarta,40300,Kab. Gunung Kidul,40309,Kec. Wonosari,69873978,SMP AL ISLAM WONOSARI,SMP,S,"Jl. Tentara Pelajar Trimulyo, Kepek, Wonosari, Gunungkidul",-7.9701317,110.5955567
40000,Prov. D.I. Yogyakarta,40200,Kab. Sleman,40201,Kec. Moyudan,20401351,SD MUHAMMADIYAH KARANGANJIR,SD,S,Karanganjir Sumberarum Moyudan,-7.7727,110.2486
40000,Prov. D.I. Yogyakarta,40200,Kab. Sleman,40213,Kec. Sleman,20400877,SLB BAKTI SIWI,SLB,S,Jl. Dr. Radjimin Pangukan,-7.7104,110.3449
40000,Prov. D.I. Yogyakarta,40100,Kab. Bantul,40117,Kec. Sedayu,20400663,SD NEGERI BANDUT,SD,N,"Bandut Kidul, Argorejo,sedayu",-7.8221,110.2674
10000,Prov. D.K.I. Jakarta,16400,Kota Jakarta Timur,16408,Kec. Cakung,20103479,SDN UJUNG MENTENG 02,SD,N,Jl. Irigasi RT 001/008,-6.1831,106.9602
10000,Prov. D.K.I. Jakarta,16400,Kota Jakarta Timur,16408,Kec. Cakung,20103478,SD NEGERI UJUNG MENTENG 03 PAGI,SD,N,Jl. Irigasi Rt. 001/08,-6.1831,106.9602
